# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
5043	56187	4	339.07998	13.438974	3.302	16.175	1540.669	9.002	21.198	22.565	20.021	1546.248	6.441	15.167	16.151	19.756	1500.000	88.301	207.934	81.872	44.799	28.178172061654777	3	0.958659901197354	1543.582	1141.164	1500.000	8464.416	46.80809919551612	0.001250201893243741	-999.0	-999.0	9.617027736955572	0.02358819939872614	8	0.07285166145602517
5044	56186	926	341.22112	13.775457	4.65	13.515	1500.000	0.000	0.000	nan	13.515	1500.000	0.000	0.000	nan	8.109	1500.000	0.000	0.000	nan	nan	0.0	0	-0.000936925575303782	1499.863	9599.813	0.000	-9999.000	46.38761033810127	0.005914290571350698	-999.0	-999.0	9.596145339489748	0.3379556173907164	7	0.03391514733663653
5143	55828	427	321.20951	1.0325148	1.732	13.086	1543.080	10.998	25.899	27.574	17.914	1547.972	4.794	11.289	12.023	17.141	1553.790	27.273	64.222	63.428	35.702	24.004270045827298	3	0.9673108918760164	1543.545	1148.307	1553.790	-1989.827	46.31793577950524	0.0012838456833218286	46.14755409906689	0.0012161064946962824	9.53863858097261	0.030603112335278716	6	0.06690712908540813
5143	55828	375	321.61688	0.65332842	1.775	10.871	1554.245	27.572	64.928	63.962	11.471	1548.299	17.969	42.315	44.787	42.996	1545.781	7.529	17.729	18.889	31.204	32.18132862317725	3	0.959341978427995	1541.832	1479.786	1554.245	-2413.581	45.949449785184015	0.0018481348682201438	45.903191294010085	0.003293598709271568	8.992858741719903	0.09657455753387327	6	0.06690713353364881
5147	55854	249	329.02174	0.44239352	1.891	0.000	1600.000	26796.334	63100.544	nan	0.000	1600.000	26803.063	63116.389	nan	17.647	1500.000	0.000	63100.544	nan	nan	0.0	0	-0.41303727265378654	1499.864	9599.666	0.000	-9999.000	45.54508337786351	0.005003676202094583	45.24428168729209	0.006546184867179791	8.549592318809317	0.31071092594006156	6	0.07708480104432691
5147	55854	228	329.12051	1.0911761	1.974	3.147	1544.518	13.611	32.051	34.100	2.132	1569.189	24.845	58.506	55.316	4.513	1546.673	5.439	32.051	13.639	31.742	20.60679112736989	3	0.868223487347781	1546.889	501.345	1569.189	-4321.854	45.52793948488881	0.005126339604331675	45.23001970597493	0.00862897261721684	8.676747349986323	0.06336513750747882	6	0.04787423649417739
5314	55952	340	143.78541	8.0206986	4.655	3.531	1500.000	87.040	204.963	81.734	0.000	1600.000	44.414	104.587	nan	0.000	1543.426	0.000	0.000	nan	81.734	0.0	1	0.0437644869597944	1499.917	9589.365	0.000	-9999.000	46.51960398916721	0.005865837632014103	-999.0	-999.0	9.15924953379426	0.20254447083857074	7	0.038227644922951075
5358	56016	536	163.6893	16.560383	5.135	12.964	1517.450	0.000	0.000	nan	12.964	1517.450	0.000	0.000	nan	7.778	1517.450	0.000	0.000	nan	nan	0.0	0	-0.06800309065656718	1499.980	9577.180	0.000	-9999.000	46.35760285579166	0.009076245434299692	-999.0	-999.0	9.311276863778552	0.21767759857206648	7	0.04536766409000627
5405	56010	984	190.52548	14.322506	1.973	14.742	1531.801	11.341	26.707	28.355	14.742	1531.801	11.341	26.707	28.355	10.838	1547.210	10.367	24.412	25.990	33.095	0.0	3	0.6763421415386801	1534.635	2872.242	1531.801	553.516	46.76717862259062	0.0009058728985137526	46.66183743045208	0.0008397240121613037	9.547872898537273	0.0661074573198903	7	0.09695007580921863
5415	55982	608	193.4723	10.767552	4.911	17.624	1500.000	0.000	0.000	nan	17.624	1500.000	0.000	0.000	nan	10.574	1500.000	0.000	0.000	nan	nan	0.0	0	-0.001690632223245725	1500.165	9541.492	0.000	-9999.000	46.68740549098563	0.003412072573072638	-999.0	-999.0	9.203848292469994	0.07044414245283305	7	0.027899930675978856
5416	56002	502	193.12852	14.435894	1.944	66.958	1543.976	5.452	12.839	13.691	72.693	1542.653	16.029	37.746	40.020	40.630	1553.208	39.617	93.292	78.546	39.217	0.0	3	0.9421693372801577	1535.191	2764.708	1553.208	-3518.513	47.148605785545264	0.000942644489657526	46.88956965792893	0.0018675243013006576	9.502432252541173	0.05510310534324483	7	0.09694993716257226
5998	56087	922	205.37976	23.845378	2.23	22.962	1541.502	10.775	25.373	27.011	5.856	1500.000	74.842	176.240	76.568	0.000	1540.352	18.028	42.453	nan	38.181	0.0	2	0.9706468619978843	1534.608	2877.435	1500.000	6760.817	46.35165001918095	0.0015559878880662124	46.17616887989787	0.0025479369907431284	9.256447276717918	0.027567671303666542	6	0.13782018857403516
