# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
5143	55828	375	321.61688	0.65332842	1.775	8.019	2794.595	10.403	24.496	26.077	3.584	2796.196	37.674	88.715	93.652	3.595	2794.827	0.000	0.000	nan	46.961	31.369787446537885	2	0.8929493504388457	2793.425	609.627	2796.196	-297.361	45.949449785184015	0.0018481348682201438	45.903191294010085	0.003293598709271568	8.992858741719903	0.09657455753387327	6	0.06690713353364881
5147	55854	249	329.02174	0.44239352	1.891	0.920	2788.768	16.213	38.179	40.646	0.250	2814.646	0.000	0.000	nan	0.000	2800.085	11.531	38.179	nan	40.646	38.18273488463319	1	0.05202695051589723	2789.022	1081.149	0.000	-9999.000	45.54508337786351	0.005003676202094583	45.24428168729209	0.006546184867179791	8.549592318809317	0.31071092594006156	6	0.07708480104432691
5147	55854	228	329.12051	1.0911761	1.974	1.253	2807.529	25.892	60.972	64.890	0.394	2809.117	105.067	247.414	171.670	0.237	2813.837	0.000	0.000	nan	90.414	0.0	2	0.3447891710082701	2800.651	-164.283	2809.117	-906.292	45.52793948488881	0.005126339604331675	45.23001970597493	0.00862897261721684	8.676747349986323	0.06336513750747882	6	0.04787423649417739
5203	56034	418	242.19252	10.485498	1.232	15.217	2801.298	12.563	29.583	31.499	6.211	2798.045	33.434	78.732	83.564	7.397	2801.478	0.000	0.000	nan	46.647	42.270909538242904	2	0.9587079230451292	2793.225	631.080	2798.045	-517.337	-999.0	-999.0	45.8383385999601	0.0012053784001323457	9.072579802003064	0.0903173646919755	6	0.20146945131545413
5295	55978	338	134.6727	14.16245	1.05	3.738	2796.229	15.051	35.442	37.745	4.352	2804.721	44.572	104.959	108.791	0.000	2796.284	101.293	238.527	nan	76.613	72.45170628144069	2	0.8027934353831021	2794.126	534.513	2804.721	-1136.726	-999.0	-999.0	45.12559298739595	0.003289930690045839	9.176219949310942	0.08454183196198546	6	0.03404756295480352
5405	56010	984	190.52548	14.322506	1.973	5.997	2778.092	49.404	116.339	115.838	25.562	2803.000	16.006	37.691	40.122	0.000	2800.994	25.275	59.519	nan	55.752	39.87200055518406	2	0.9613500149574329	2799.015	10.957	2778.092	2240.983	46.76717862259062	0.0009058728985137526	46.66183743045208	0.0008397240121613037	9.547872898537273	0.0661074573198903	7	0.09695007580921863
5416	56002	502	193.12852	14.435894	1.944	20.447	2796.828	13.854	32.623	34.726	28.241	2798.230	27.822	65.515	69.715	6.397	2767.842	103.370	243.417	166.381	68.303	52.523909263557016	3	0.9737576565002242	2794.230	523.383	2767.842	2831.212	47.148605785545264	0.000942644489657526	46.88956965792893	0.0018675243013006576	9.502432252541173	0.05510310534324483	7	0.09694993716257226
5998	56087	922	205.37976	23.845378	2.23	5.486	2797.362	25.035	58.954	62.755	6.827	2802.208	6.668	15.701	16.713	0.000	2800.014	10.774	25.370	nan	37.531	0.0	2	0.8475297610160959	2795.744	361.263	2797.362	-173.471	46.35165001918095	0.0015559878880662124	46.17616887989787	0.0025479369907431284	9.256447276717918	0.027567671303666542	6	0.13782018857403516
6003	56311	96	205.53487	27.158493	1.189	7.387	2802.284	18.839	44.363	47.227	7.387	2802.285	18.825	44.330	47.192	11.732	2798.338	50.838	119.715	121.029	79.976	64.59455402392496	3	0.968984254876423	2799.332	-22.981	2798.338	106.381	-999.0	-999.0	45.89810231599767	0.0007827910255558139	9.501225698066222	0.021543340022699146	6	0.13782022065062263
6185	56217	348	5.1050866	15.681866	2.019	7.782	2820.811	32.341	76.158	80.460	6.206	2792.599	9.776	23.022	24.533	7.530	2776.409	60.313	142.026	132.640	94.126	87.90629582565498	3	0.8214723661783753	2781.871	1847.117	2776.409	588.590	46.70869024225854	0.000747265409300431	46.64766863450219	0.0009073931749399769	9.393598511287442	0.019530022733569553	6	0.03162599907835092
6488	56364	672	195.37146	33.616771	1.008	3.808	2798.734	6.123	14.419	15.355	3.809	2802.072	8.845	20.827	22.182	1.385	2787.928	39.579	14.419	97.683	31.761	19.90102283305214	3	0.9063508763021546	2799.861	-79.643	2787.928	1277.679	-999.0	-999.0	44.90640966327278	0.0024974235227499474	8.021511310530034	0.19834706881185707	6	0.1711019962363241
6488	56364	486	194.48847	32.49147	0.806	6.352	2795.230	9.399	22.132	23.566	4.714	2797.261	15.823	37.260	39.670	8.243	2799.422	27.670	65.158	69.337	47.282	37.83429354592863	3	0.9772073262972512	2793.073	647.316	2799.422	-681.406	-999.0	-999.0	44.96422621912024	0.0051777908150377324	8.576380673302873	0.03699258452206315	6	0.17110199579125585
6491	56337	596	202.78456	30.509147	0.85	16.913	2795.575	0.000	0.000	nan	16.913	2795.575	0.000	0.000	nan	10.148	2795.575	0.000	0.000	nan	nan	0.0	0	-0.06269862944220095	2699.779	10639.368	0.000	-9999.000	-999.0	-999.0	45.85446600072235	0.0009075963318588595	8.48250868643911	0.03255793849398908	6	0.17345812501564423
7167	56604	942	1.05682	-8.9248838	2.435	26.188	2755.491	0.000	0.000	nan	26.188	2755.491	0.000	0.000	nan	15.713	2755.491	0.000	0.000	nan	nan	0.0	0	0.004789960903301971	2700.059	10609.407	0.000	-9999.000	46.737743729395085	0.0007581302153700341	46.74334068350199	0.0007473656055166409	9.848358548625864	0.025273522640014725	6	0.020140626223955214
7848	56959	545	358.1587	1.097877	2.153	13.005	2791.232	0.000	0.000	nan	13.005	2791.232	0.000	0.000	nan	7.803	2791.232	0.000	0.000	nan	nan	0.0	0	-0.17462956108306105	2700.076	10607.532	0.000	-9999.000	46.72791708419404	0.0003842305833376525	46.7896134656464	0.00037577813386274734	9.894488049092455	0.022786437222510468	7	0.9632368952769652
7848	56959	611	358.46895	0.46146379	2.5135508	3.768	2900.000	0.000	0.000	nan	3.768	2900.000	0.000	0.000	nan	2.261	2900.000	0.000	0.000	nan	nan	0.0	0	0.023390624675685423	2699.937	10622.415	0.000	-9999.000	45.39463754018158	0.00484516883086252	-999.0	-999.0	9.09086551414968	0.23400909661300878	6	0.0626827566057751
7849	56980	364	357.68628	0.56391953	1.5756849	2.339	2804.864	0.000	0.000	nan	4.463	2801.991	20.980	49.403	52.592	0.000	2801.937	71.512	168.399	nan	52.592	0.0	1	0.7324749979310401	2799.673	-59.538	0.000	-9999.000	-999.0	-999.0	45.15955996862178	0.011158226341808564	8.518871735337962	0.07531504507925112	6	0.07553987871867085
7859	57282	340	17.161526	1.5834108	2.1088977	4.608	2785.079	0.000	0.000	nan	10.568	2790.852	17.016	40.069	42.658	0.000	2790.173	0.000	0.000	nan	42.658	0.0	1	0.729228549636896	2790.573	915.034	0.000	-9999.000	46.75598300064282	0.0006858243911039192	46.84753497670306	0.0008256720867171905	9.4052382427163	0.09328911826504524	6	0.03980339953629771
